date,roi,log_dev_2019,centered_yoy,trailing_yoy,no2_monthly
2023-01-01,sucre,-14.774629745032897,-2.1395179277533316,-2.9741510268694427,7.229799474669218e-06
2023-02-01,sucre,-12.53957176654552,0.692975329165435,-2.365437435398121,6.941833285555563e-06
2023-03-01,sucre,-10.681820850029666,1.547288331836505,-4.611299825907267,7.019793420515008e-06
2023-04-01,sucre,-10.198435765635594,3.152483131731998,-4.118930578458979,7.961616761648801e-06
2023-05-01,sucre,-11.819607567527513,-2.7814700900066214,-1.7413500161920226,1.235981489090751e-05
2023-06-01,sucre,-13.215801097476998,-7.401183220898844,-2.1395179277533316,1.34556595963542e-05
2023-07-01,sucre,-11.402469643651969,-0.49758294060513464,0.692975329165435,1.4934059396702773e-05
2023-08-01,sucre,-12.544106206106775,2.2037058433220125,1.547288331836505,2.1075174143085146e-05
2023-09-01,sucre,-10.809647079671869,5.736709950213026,3.152483131731998,1.7063306896450377e-05
2023-10-01,sucre,-10.80812449236408,8.428467997388545,-2.7814700900066214,1.037182429366318e-05
2023-11-01,sucre,-10.564440045503787,7.68055766881055,-7.401183220898844,8.950059890888863e-06
2023-12-01,sucre,-10.031443514485971,5.920171912874395,-0.49758294060513464,7.047115298515806e-06
2024-01-01,sucre,-9.429786884411051,5.344842860621846,2.2037058433220125,6.30419265670607e-06
2024-02-01,sucre,-8.848278265049814,3.691293501495707,5.736709950213026,8.548031281746297e-06
2024-03-01,sucre,-11.339630930918432,-0.6578100808887655,8.428467997388545,7.021076127497267e-06
2024-04-01,sucre,-11.490950851347925,-1.2925150857123313,7.68055766881055,8.197868845617403e-06
2024-05-01,sucre,-8.493983690451934,3.3256238770755786,5.920171912874395,1.317617216269908e-05
2024-06-01,sucre,-7.7700629726400905,5.4457381248369074,5.344842860621846,1.4463071402443522e-05
2024-07-01,sucre,-9.380745452615358,2.0217241910366113,3.691293501495707,1.601339411470546e-05
2024-08-01,sucre,-6.413873871137099,6.130232334969676,-0.6578100808887655,1.5629082585520076e-05
2024-09-01,sucre,-5.3764719280680495,5.43317515160382,-1.2925150857123313,1.6756260874940553e-05
2024-10-01,sucre,-5.707111904392015,5.101012587972065,3.3256238770755786,1.4860831397190008e-05
2024-11-01,sucre,-6.249340228240996,4.315099817262791,5.4457381248369074,9.762326179799922e-06
2024-12-01,sucre,-7.387161031108214,2.644282483377758,2.0217241910366113,5.808581877217955e-06
2025-01-01,sucre,-12.542355792728088,-3.112568908317037,6.130232334969676,9.000134331002075e-06
2025-02-01,sucre,-13.041043536338393,-4.192765271288579,5.43317515160382,9.681232621932184e-06
2025-03-01,sucre,-13.481558963331963,-2.1419280324135315,5.101012587972065,6.747956401056351e-06
2025-04-01,sucre,-14.746656440804351,-3.2557055894564257,4.315099817262791,7.681438426608486e-06
2025-05-01,sucre,-14.913227578669996,-6.4192438882180625,2.644282483377758,1.1494533365538912e-05
2025-06-01,sucre,-16.603981822529512,-8.833918849889422,-3.112568908317037,7.791046810341272e-06
2025-07-01,sucre,-11.39548350774966,-2.014738055134302,-4.192765271288579,1.508322161901025e-05
2025-08-01,sucre,-10.165344209740113,-3.7514703386030135,-2.1419280324135315,1.4824357362686266e-05
2025-09-01,sucre,-8.901204322997813,-3.5247323949297638,-3.2557055894564257,1.4396142297914368e-05
2025-10-01,sucre,-7.147422110647028,-1.4403102062550133,-6.4192438882180625,1.4566734203921914e-05
2025-11-01,sucre,-7.234277665524047,-0.984937437283051,-8.833918849889422,7.969647001023669e-06
2025-12-01,sucre,-13.505732955160177,-6.118571924051963,-2.014738055134302,1.0852074455312708e-05
2026-01-01,sucre,-10.2801879370638,2.2621678556642877,-3.7514703386030135,1.043177272538033e-05
2026-02-01,sucre,-12.839277900605772,0.2017656357326203,-3.5247323949297638,1.1267089205533626e-05
2026-03-01,sucre,-12.810020424947233,0.6715385383847305,-1.4403102062550133,8.328584961067336e-06
2026-04-01,sucre,-12.19687371973368,2.5497827210706703,-0.984937437283051,7.601793134157951e-06
2026-04-01,sucre,,,-6.118571924051963,5.415671759539406e-06
2026-05-01,sucre,,,2.2621678556642877,1.1473506922111086e-05
2026-06-01,sucre,,,0.2017656357326203,1.1094973626842984e-05
2026-07-01,sucre,,,0.6715385383847305,1.4876495628134646e-05
2026-08-01,sucre,,,2.5497827210706703,1.549531746634889e-05
2018-07-01,oruro,,,,6.192971338359651e-06
2018-08-01,oruro,,,,1.0941691105288007e-05
2018-09-01,oruro,,,,1.0039790427659562e-05
2018-10-01,oruro,,,,1.0916360448724264e-05
2018-11-01,oruro,,,,1.060281500768424e-05
2018-12-01,oruro,,,,8.389344416918007e-06
2019-01-01,oruro,4.758500693397849,,,8.520585438228103e-06
2019-02-01,oruro,7.870974232689143,,,8.089131924460315e-06
2019-03-01,oruro,8.907737856479336,,,7.254031366646674e-06
2019-04-01,oruro,10.849410604905252,,,6.811321626337296e-06
2019-05-01,oruro,6.2360137523894466,,,5.701160904540143e-06
2019-06-01,oruro,0.8337956821797832,,,8.152454125461835e-06
2019-07-01,oruro,1.7763568394002505e-13,,,8.99718561141669e-06
2019-08-01,oruro,1.4113732991802408,,,1.2391267614737572e-05
2019-09-01,oruro,-0.9435433954079642,,,1.2674054741867309e-05
2019-10-01,oruro,-3.1887088179482603,,,6.275511528737367e-06
2019-11-01,oruro,-6.900901931281567,,,5.544760147321889e-06
2019-12-01,oruro,-11.522693829853203,,,7.590571590493239e-06
2020-01-01,oruro,-16.2193127470033,-20.97781344040115,,1.0093078054845564e-05
2020-02-01,oruro,-16.15642295427957,-24.027397186968713,,6.097820545237442e-06
2020-03-01,oruro,-18.672140360463096,-27.579878216942433,,5.540792351090681e-06
2020-04-01,oruro,-17.46051365830983,-28.30992426321508,,4.362839030109429e-06
2020-05-01,oruro,-16.681312197642306,-22.917325950031753,,3.274138541549525e-06
2020-06-01,oruro,-20.57815384876225,-21.41194953094203,-20.97781344040115,4.640048095323474e-06
2020-07-01,oruro,-27.32722404086605,-27.327224040866227,-24.027397186968713,9.065342205764772e-06
2020-08-01,oruro,-28.506143288089625,-29.917516587269866,-27.579878216942433,9.162379458536266e-06
2020-09-01,oruro,-26.3159888230442,-25.372445427636237,-28.30992426321508,1.4657500359400724e-05
2020-10-01,oruro,-23.808014485289597,-20.619305667341337,-22.917325950031753,6.890606970098488e-06
2020-11-01,oruro,-20.78113095240397,-13.880229021122403,-21.41194953094203,3.473741885294585e-06
2020-12-01,oruro,-15.674503140392204,-4.151809310539001,-27.327224040866227,3.377103785184828e-06
2021-01-01,oruro,-13.383858656079362,2.835454090923939,-29.917516587269866,8.761608774312874e-06
2021-02-01,oruro,-13.631966604098444,2.5244563501811257,-25.372445427636237,7.930768611494456e-06
2021-03-01,oruro,-13.745722851930964,4.926417508532133,-20.619305667341337,7.486447865167086e-06
2021-04-01,oruro,-15.681673129684803,1.7788405286250253,-13.880229021122403,6.273591659489671e-06
2021-05-01,oruro,-17.75968204506171,-1.0783698474194026,-4.151809310539001,6.042695161300651e-06
2021-06-01,oruro,-14.107015748387575,6.471138100374674,2.835454090923939,6.1080163836143975e-06
2021-07-01,oruro,-5.320605959260938,22.00661808160511,2.5244563501811257,8.799418501750195e-06
2021-08-01,oruro,-7.449654048263987,21.056489239825638,4.926417508532133,9.038155910816274e-06
2021-09-01,oruro,-9.043166814114478,17.272822008929722,1.7788405286250253,1.1618958774059738e-05
2021-10-01,oruro,-11.237015585584054,12.570998899705543,-1.0783698474194026,5.369839960991214e-06
2021-11-01,oruro,-13.952381936656444,6.828749015747526,6.471138100374674,5.38465004591394e-06
2021-12-01,oruro,-13.25600670877467,2.418496431617534,22.00661808160511,9.69284174435615e-06
2022-01-01,oruro,-12.221387505500836,1.1624711505785257,21.056489239825638,6.786217841425489e-06
2022-02-01,oruro,-11.67679704420621,1.9551695598922336,17.272822008929722,6.5504151123757216e-06
2022-03-01,oruro,-10.181244183868365,3.5644786680625984,12.570998899705543,5.753639333435318e-06
2022-04-01,oruro,-12.212875732338802,3.468797397346002,6.828749015747526,4.52901764678787e-06
2022-05-01,oruro,-9.642137644726922,8.117544400334786,2.418496431617534,6.569351743990072e-06
2022-06-01,oruro,-7.7484087873115115,6.358606961076063,1.1624711505785257,6.915438486788096e-06
2022-07-01,oruro,-9.71944574912893,-4.398839789867992,1.9551695598922336,9.393674106231987e-06
2022-08-01,oruro,-8.199619066794206,-0.7499650185302187,3.5644786680625984,1.0814864221382535e-05
2022-09-01,oruro,-7.356227954124428,1.6869388599900503,3.468797397346002,9.105169737444455e-06
2022-10-01,oruro,-6.975829029829583,4.26118655575447,8.117544400334786,7.310317278472519e-06
2022-11-01,oruro,-3.128724210830569,10.823657725825875,6.358606961076063,6.758491975053247e-06
2022-12-01,oruro,0.9785175725346207,14.234524281309291,-4.398839789867992,7.651205469693299e-06
2023-01-01,oruro,5.9529086378944385,18.174296143395274,-0.7499650185302187,8.143930853775769e-06
2023-02-01,oruro,8.511396638113666,20.188193682319877,1.6869388599900503,7.248070946336238e-06
2023-03-01,oruro,9.521387573338735,19.7026317572071,4.26118655575447,6.022367491748447e-06
2023-04-01,oruro,12.18798478594696,24.40086051828576,10.823657725825875,7.18616492456869e-06
2023-05-01,oruro,11.157987140795633,20.800124785522556,14.234524281309291,1.075406876281468e-05
2023-06-01,oruro,10.516010735579329,18.26441952289084,18.174296143395274,1.2562086902674902e-05
2023-07-01,oruro,8.357175566106179,18.07662131523511,20.188193682319877,1.2769443052317794e-05
2023-08-01,oruro,6.908159103685385,15.107778170479591,19.7026317572071,1.2208353333370226e-05
2023-09-01,oruro,6.063478654291998,13.419706608416426,24.40086051828576,1.253887753887878e-05
2023-10-01,oruro,1.9896110923427912,8.965440122172375,20.800124785522556,6.460372371300586e-06
2023-11-01,oruro,2.477640349915333,5.606364560745902,18.26441952289084,6.257386562599834e-06
2023-12-01,oruro,-0.3105855353853215,-1.2891031079199422,18.07662131523511,5.905020922491007e-06
2024-01-01,oruro,-1.8132851155455043,-7.766193753439943,15.107778170479591,6.8441275583040125e-06
2024-02-01,oruro,-4.056677905728101,-12.568074543841767,13.419706608416426,6.549401707883573e-06
2024-03-01,oruro,-5.032911380646432,-14.554298953985167,8.965440122172375,3.6936544936339375e-06
2024-04-01,oruro,-7.471915598740075,-19.659900384687035,5.606364560745902,7.619579238682607e-06
2024-05-01,oruro,-3.713703916861455,-14.871691057657088,-1.2891031079199422,7.695971932194529e-06
2024-06-01,oruro,0.09943707244826072,-10.416573663131068,-7.766193753439943,1.0489338415326275e-05
2024-07-01,oruro,3.544259570777797,-4.812915995328382,-12.568074543841767,9.755662840030145e-06
2024-08-01,oruro,4.646413237795066,-2.261745865890319,-14.554298953985167,1.085876295790468e-05
2024-09-01,oruro,6.068297413369983,0.00481875907798468,-19.659900384687035,9.357269375787691e-06
2024-10-01,oruro,9.666599173569068,7.676988081226277,-14.871691057657088,1.014186960719297e-05
2024-11-01,oruro,10.005628440418413,7.527988090503079,-10.416573663131068,9.888174365848594e-06
2024-12-01,oruro,12.830024113412897,13.140609648798218,-4.812915995328382,8.92790435472205e-06
2025-01-01,oruro,7.641467399341373,9.454752514886877,-2.261745865890319,7.811909544277322e-06
2025-02-01,oruro,9.462050289274693,13.518728195002794,0.00481875907798468,7.76789958563385e-06
2025-03-01,oruro,8.48914959980167,13.522060980448103,7.676988081226277,5.688306388694651e-06
2025-04-01,oruro,9.885655153293094,17.35757075203317,7.527988090503079,7.935962638929333e-06
2025-05-01,oruro,9.948374953349237,13.662078870210692,13.140609648798218,1.0800846892758124e-05
2025-06-01,oruro,8.814682351027692,8.715245278579431,9.454752514886877,5.6278784778754125e-06
2025-07-01,oruro,12.55790357942388,9.013644008646082,13.518728195002794,1.2137718885868642e-05
2025-08-01,oruro,13.824402035345962,9.177988797550896,13.522060980448103,9.662228519020469e-06
2025-09-01,oruro,13.009494232905894,6.941196819535911,17.35757075203317,1.106441586626239e-05
2025-10-01,oruro,17.519157530236917,7.852558356667849,13.662078870210692,1.0218489103152135e-05
2025-11-01,oruro,17.12996336413113,7.124334923712716,8.715245278579431,8.63044805769297e-06
2025-12-01,oruro,13.806296099620319,0.9762719862074221,9.013644008646082,1.3990356068987165e-05
2026-01-01,oruro,19.625361880418346,11.983894481076973,9.177988797550896,9.0941308925361e-06
2026-02-01,oruro,19.652744078244844,10.190693788970151,6.941196819535911,7.044244271203555e-06
2026-03-01,oruro,20.512940398202595,12.023790798400924,7.852558356667849,9.772498376291784e-06
2026-04-01,oruro,,,7.124334923712716,7.573848769656831e-06
2026-04-01,oruro,,,0.9762719862074221,7.248426967394365e-06
2026-06-01,oruro,,,11.983894481076973,1.131376855612906e-05
2026-07-01,oruro,,,10.190693788970151,1.2177667372931522e-05
2026-08-01,oruro,,,12.023790798400924,1.0712891995116374e-05
2018-07-01,potosi,,,,5.397828434869555e-06
2018-08-01,potosi,,,,1.0612172732254325e-05
2018-09-01,potosi,,,,1.1186030246895736e-05
2018-10-01,potosi,,,,6.869446017732881e-06
2018-11-01,potosi,,,,7.727582291940237e-06
2018-12-01,potosi,,,,7.96878636471609e-06
2019-01-01,potosi,-6.217463607657692,,,5.612667951049627e-06
2019-02-01,potosi,-0.47852162615313887,,,7.600233305585156e-06
2019-03-01,potosi,2.643782727727384,,,6.593042856247485e-06
